Teencode,Meaning
cũg,cũng
đag,đang
ơiii,ơi
hic,hích
ace,anh chị em
àk,à
uh,ừ
cmm,con_mẹ_mày
cmnr,con_mẹ_nó_rồi
ơiiii,ơi
hnay,hôm_nay
ukm,ừm
tq,trung_quốc
ctr,chương_trình
đii,đi
nch,nói_chuyện
trieu,triệu
hahah,ha_ha
nta,người_ta
ngèo,nghèo
kêh,kênh
ak,à
ad,admin
j,gì
ny,người_yêu
dc,được
qc,quảng_cáo
baoh,bao_giờ
zui,vui
zẻ,vẻ
tym,tim
k,không
bt,bình_thường
bth,bình_thường
khong,không
sp,sản phẩm
ok,ổn
oke,ổn
oki,ổn
okey,ổn
okie,ổn
okay,ổn
shop,cửa_hàng
thw,thương
dug,dung
1/2,nửa
nhma,nhưng mà
nma,nhưng mà
good,hay
cute,dễ_thương
chời,trời
sach,sách
tot,tốt
focus,tập_trung
ndung,nội_dung
like,thích
kkk,kakaka
kh,không
amazing,tuyệt_vời
cool,ngầu
wonderful,tuyệt_vời
great,tuyệt_vời
hông,không
very,quá
df,hư_hỏng
thg,thường
free,miễn_phí
trc,trước
rv,review
ch,chưa
hqua,hôm_qua
